"id_operation","lib_transaction","credit","debit","id_categorie","lib_categorie","id_sous_categorie","lib_sous_categorie"
189,"VIR SOFT COMPUTING SOFT COMP 1291",12546.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
190,"VIR STA PORTAGE 201812-2",,-2640.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
191,"VIR STA PORTAGE 201811",,-10560.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
192,"VIR IFEO 2018-10",,-9108.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
193,"PRLV SEPA CUBE CUBE FT12082-1 FACTURE FT12082 - PERIODE 201812",,-280.900000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
194,"VIR KORBEN 0121002296 /INV/ INV1279",12000.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
195,"VIR HIGHERLINK I05D19029L00415",,-2750.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
196,"VIR DEVL HUB PRO SGBDDF1-P-EU2S-003015-0000250500 INV1332",13260.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
197,"VIR FEEL EUROPE FORMATION INV-1314 ADBI 1812160",4200.000000,,35,"VENTES PRESTATIONS SERV",97,"Prestations services formation"
198,"UNT BORDEAUX 120-126 QUAI DE /INV/20190104 C/C05P19004120611",30936.000000,,,"",,""
199,"PRLV SEPA SPB DEB-SPB-876-20181228-000026657097 ASSURANCE MOBILE SPB BOUYGUES TELECOM",,-13.990000,11,"ASSURANCES",27,"Assurance mobiles "
200,"PRLV SEPA TOTAL MS I0000000530673-010032518237492019 /INV/F9177485/0087263392 //20190117-SAGR4",,-165.560000,3,"MATIERES ET FOURNITURES",6,"Carburant"
201,"VIR DS RECRUTEMENT 12/2018",,-3600.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
202,"VIR GPE14 487 556",,-431.480000,,"",,""
203,"VIR HABITAT DESIGN INTERNATI 0008286 INV-1352 INV-1234",33540.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
204,"REM CHQ REF10290R07",9828.000000,,35,"VENTES PRESTATIONS SERV",97,"Prestations services formation"
205,"PRLV SEPA CREDIPAR 101G8837265 101G8837265 32 050119 VOTRE IDENTIFIANT ESPACE CLIENT : NOTRE SITE :",,-341.640000,6,"LOCATIONS MOBILIERES",16,"Locations Peugeot Partner"
206,"VIR AGYLIS AGYLIS ADBI OCT NOV DEC",25992.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
207,"REM CHQ REF10290R07",72610.210000,,35,"VENTES PRESTATIONS SERV",97,"Prestations services formation"
208,"PRLV SEPA NIT ENCAISSEMENTS PRL NO P03600-001-CE3096286 SOCIETE:TITRES DE SERVICES/FACTURES:1910018522/03600/D.EMISSION:2019-0",,-193.560000,26,"AUTRES CHARGES PERSONNEL",79,"Titres restaurants"
209,"VIR SAID AMRANI 2018-11",,-8640.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
210,"VIR SAINT GOBAIN GLASS LOGIS FVIRSSGL-190122",12060.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
211,"VIR  Systema services 201808",,-7920.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
212,"VIR MALTEM SAU VIRT FACT INV-1241",10929.600000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
213,"CHEQUE 2164709",,-397.320000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
214,"PRLV SEPA FREE TELECOM FHD 838524283 FREE HAUTDEBIT 838524283",,-190.000000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
215,"PRLV SEPA SPB DEB-SPB-876-20181228-000026994491 ASSURANCE MOBILE SPB BOUYGUES TELECOM",,-14.990000,11,"ASSURANCES",27,"Assurance mobiles "
216,"VIR OFII ZABER BILLEL",,-1375.000000,21,"AUTRES IMPOTS ADMIN FISC",51,"Taxe OFII "
217,"VIR AMETIX AMETIX INV-1217 ADBI 10/18 ZABER",10332.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
218,"VIR  Systema services 201807",,-6600.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
219,"VIR DS RECRUTEMENT 11/2018 WB",,-2220.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
220,"FAC.CIC SGT19005200009898 DONT TVA 12,80EUR",,-195.910000,18,"SERVICES BANCAIRES",45,"Frais bancaires"
221,"VIR NOVA TECHNOLOGY INV-1189 VIRT NOVA TECHNOLOGY",9600.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
222,"VIR LUXORY 201811",,-8645.640000,13,"INTERMED ET HONORAIRES",110,"Honoraires  agents sécu-accueil"
223,"PRLV SEPA DAUCHEZ ADB GERANCE 11",,-9676.240000,5,"LOCATIONS IMMOBILIERES",15,"Locations immobilières Paris"
224,"VIR CARREFOUR BANQUE 2000000408 /INV/INV-1338 31.12.2018",10890.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
225,"VIR TENDEM 18.11 & 18.12",,-415.680000,8,"ENTRETIEN BIENS IMMOBIL",21,"Entretien de biens immobiliers"
226,"VIR SAINT GOBAIN DSI GROUPE 0270021193 /INV/INV1300 31.10.2018",14352.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
227,"VIR DS RECRUTEMENT NOV BEKKAT",,-2280.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
228,"VIR STA PORTAGE 201810",,-9504.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
229,"VIR OFII BOUSNADJI NABIL",,-1238.000000,21,"AUTRES IMPOTS ADMIN FISC",51,"Taxe OFII "
230,"PRLV SEPA DGFIP 220750560700068841112 TVA-012019-3310CA3",,-55164.000000,41,"DETTE FISCALE ET SOCIALE ",113,"Tva"
231,"VIR AUBAY SCT180191 1269",9600.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
232,"VOTRE REMISE VIREMENT DU 300119 VIREMENTS SALAIRES",,-116123.860000,23,"REMUNERATIONS PERSONNEL",,""
233,"PRLV SEPA AG2R REUNICA AG029000002595112 RETRAITE - AG2R REUNICA - 201812M - SIRET 80532165000030 -AG0290000025",,-21567.880000,22,"CHARGES SOCIALES PERSONN",54,"Cotisations Réunica"
234,"VIR EI TECHNOLOGIES FCE 30066-12-19018025106926",36012.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
235,"REM CHQ REF10290R07",4704.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
236,"CHEQUE 2049100",,-10328.560000,6,"LOCATIONS MOBILIERES",109,"Locations Peugeot 3008"
237,"PRLV SEPA FREE TELECOM FHD 844613473 FREE HAUTDEBIT 844613473",,-39.990000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
238,"VIR ATHAIS CONSULTING SARL FACTURE INV1254",11280.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
239,"VIR FEEL EUROPE FORMATION INV-1313 ADBI 1812159",480.000000,,35,"VENTES PRESTATIONS SERV",97,"Prestations services formation"
240,"ECH PRET CAP+IN 10934 201056 04 TAUX= 1,70000 INT= 411,03",,-12987.810000,30,"CHARGES D'INTERETS",87,"Intérêts emprunt 450 K€ "
241,"CHEQUE 2164708",,-80.000000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
242,"VIR KEYRUS FV00005652 INV-1284",2952.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
243,"PRLV SEPA MAAF ASSURANCES SA NUM 192367366 /REF 201830966277 COTISATION ASSURANCE 192367366",,-7264.540000,11,"ASSURANCES",26,"Assurance véhicule"
244,"VIR ERNST YOUNG ADVISORY C01FRSE002729 INV-1278",5130.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
245,"RELEVE CARTE 23697515",,-1028.180000,,"",,""
246,"VIR APAVE INV-1167 INV-1265 INV-1266",34176.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
247,"VIR HABITAT DESIGN INTERNATI 0008185 INV 1281",16380.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
248,"PRLV SEPA EXPERTISE COMPTABLE A PK9029386PUUWS02 ECAI 12.18",,-4629.600000,13,"INTERMED ET HONORAIRES",107,"Honoraires comptables"
249,"CHEQUE 2049101",,-11460.000000,5,"LOCATIONS IMMOBILIERES",111,"	Locations immobilières Porte de Bagnolet"
250,"PRLV SEPA NIT ENCAISSEMENTS PRL NO P03602-001-CE3096286 SOCIETE:TITRES DE SERVICES/FACTURES:1910020694/03602/D.EMISSION:2019-0",,-193.560000,26,"AUTRES CHARGES PERSONNEL",79,"Titres restaurants"
251,"VIR SOPRA STERIA GROUP 010PAD310878 INV-1210",1908.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
252,"CHEQUE 2164706",,-1200.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
253,"REM CHQ REF10290A04",12672.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
254,"VIR ADAMI 1901308057",9000.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
255,"PRLV SEPA DAUCHEZ ADB GERANCE 9",,-7519.540000,5,"LOCATIONS IMMOBILIERES",15,"Locations immobilières Paris"
256,"PRLV SEPA MACIF IDF PRODUCTION- I0000227852008016321895019 -PRELEV 0210012019 01632189501",,-221.470000,11,"ASSURANCES",26,"Assurance véhicule"
257,"PRLV SEPA SPB DEB-SPB-876-20181228-000026691929 ASSURANCE MOBILE SPB BOUYGUES TELECOM",,-14.990000,11,"ASSURANCES",27,"Assurance mobiles "
258,"REM CHQ REF10290R07",2620.800000,,,"",,""
259,"VIR STA PORTAGE 201812-1",,-4428.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
260,"PRLV SEPA NIT ENCAISSEMENTS PRL NO P03588-002-CE3096286 SOCIETE:TITRES DE SERVICES/FACTURES:1910000414/03588/D.EMISSION:2019-0",,-7502.520000,26,"AUTRES CHARGES PERSONNEL",79,"Titres restaurants"
261,"PRLV SEPA URSSAF ILE-DE-FRANCE BQE311719015072006RCUR000025064 UR 117000001549472650 DEC 18788617793000160119",,-73868.000000,22,"CHARGES SOCIALES PERSONN",55,"Cotisations Urssaf"
262,"BD FRANCE BUSINESS DECISION FRAN",10836.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
263,"VIR AMETIX AMETIX INV-1216 ADBI 10/18 LEMRABOTT",10800.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
264,"CHEQUE 2049103",,-18000.000000,8,"ENTRETIEN BIENS IMMOBIL",21,"Entretien de biens immobiliers"
265,"CHEQUE 2164710",,-164.720000,8,"ENTRETIEN BIENS IMMOBIL",21,"Entretien de biens immobiliers"
266,"PRLV SEPA ENGIE 880009265960 Z 300001929622-040012499444",,-54.930000,3,"MATIERES ET FOURNITURES",4,"Electricité "
267,"PRLV SEPA BOUYGUES TELECOM PAGP0100JLMM0A LIGNES MOBILES",,-471.880000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
268,"VIR HAS SOLUTION 2018-11",,-11340.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
269,"VIR MISTRA FORMATION 11/2018",,-10140.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
270,"REM CHQ REF10290R07",20976.640000,,35,"VENTES PRESTATIONS SERV",97,"Prestations services formation"
271,"CHEQUE 2164707",,-140.400000,14,"PUBLICITE RELATIONS PUBL",39,"Cadeaux"
272,"VIR SAINT GOBAIN DSI GROUPE 0270021334 /INV/INV1290 30.11.2018",12480.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
273,"VIR OFII NAFAA MOHYIDDINE",,-1375.000000,21,"AUTRES IMPOTS ADMIN FISC",51,"Taxe OFII "
274,"VIR  Systema services 201809",,-6480.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
275,"PRLV SEPA CHATEAUDEAU SAS 101/4977/C609143 CUSTOMER 609143",,-6.000000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
276,"VIR SOPRA STERIA GROUP 010PAD317460 INV-1116-INV-1156-INV-1325-INV-1296-INV-1295-INV-1294-INV-1194-INV-124",78936.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
277,"VIR FORMATION POUR FEEL EUROPE",,-1000.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
278,"PRLV SEPA AG2R REUNICA AG029000002708161 RETRAITE - AG2R REUNICA - 201812M - SIRET 80532165000030 -AG0290000027",,-139.760000,22,"CHARGES SOCIALES PERSONN",54,"Cotisations Réunica"
279,"PRLV SEPA CUBE CUBE FT12257-1 FACTURE FT12257 - PERIODE 201901",,-283.670000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
280,"VIR MALTEM SAU VIRT FACT INV-1347",6652.800000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
281,"CHEQUE 2164716",,-900.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
282,"VIR AGENCE NALE POUR LA FORM , .INV-1211 AFPA 24 AFPA SIA.GE SOCIAL",11880.000000,,,"",,""
283,"PRLV SEPA NIT ENCAISSEMENTS PRL NO P03614-001-CE3096286 SOCIETE:TITRES DE SERVICES/FACTURES:1910050210/03614/D.EMISSION:2019-0",,-7865.640000,26,"AUTRES CHARGES PERSONNEL",79,"Titres restaurants"
284,"VIR VERALLIA PACKAGING 0018000573 /INV/INV-1322 31.12.2018",4452.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
285,"BD FRANCE BUSINESS DECISION FRAN",9324.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
286,"VIR SAID AMRANI 2019",,-19800.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
287,"PRLV SEPA SPB DEB-SPB-876-20190127-000027477301 ASSURANCE MOBILE SPB BOUYGUES TELECOM",,-13.990000,11,"ASSURANCES",27,"Assurance mobiles "
288,"CHEQUE 2164711",,-211.000000,22,"CHARGES SOCIALES PERSONN",55,"Cotisations Urssaf"
289,"VIR SALAIRE 01/19 R.GUERRIER",,-1152.230000,23,"REMUNERATIONS PERSONNEL",71," Salaires bruts"
290,"REM CHQ REF10290R07",17820.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
291,"PRLV SEPA GOOGLE IRELAND LIMITE GG101P3168 APPS COMMERCE:ADBI.FR:GG101P3168",,-253.400000,4,"SOUS TRAITANCE GENERALE",10,"Hébergements France"
292,"VIR MALTEM SAU VIRT FACT INV-1304",8791.200000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
293,"VIR  Systema services 201810",,-6480.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
294,"VIR AMETIX AMETIX INV-1311 ADBI 12/18 ZABER",7872.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
295,"CHEQUE 2164715",,-10997.000000,20,"IMPOTS REMUN AUTRES ORG",47,"Taxe d'apprentissage"
296,"VIR CDISCOUNT 0001103101 /INV/INV-1326 31.12.2018/INV/INV-1350 31.12.2018/INV/INV-1316 31.12.20",24708.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
297,"VIR NOVA TECHNOLOGY INV-1244 VIRT NOVA TECHNOLOGY",10800.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
298,"PRLV SEPA FREE TELECOM FHD 851122695 FREE HAUTDEBIT 851122695",,-39.990000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
299,"PRLV SEPA ENGIE 830006064937 Z 300001929622-930000990572",,-120.600000,3,"MATIERES ET FOURNITURES",4,"Electricité "
300,"VIR FEEL EUROPE FORMATION FC190041 ADBI 1901077",10824.000000,,35,"VENTES PRESTATIONS SERV",97,"Prestations services formation"
301,"PRLV SEPA CREDIPAR 101G8837265 101G8837265 32 050219 VOTRE IDENTIFIANT ESPACE CLIENT : NOTRE SITE :",,-341.640000,6,"LOCATIONS MOBILIERES",16,"Locations Peugeot Partner"
302,"VIR SAVINA",,-1680.000000,13,"INTERMED ET HONORAIRES",108,"Honoraires juridiques"
303,"RELEVE CARTE 23697515",,-2659.900000,,"",,""
304,"PRLV SEPA EXPERTISE COMPTABLE A PK9057386CJV3104 ECAI 01.19",,-4210.800000,13,"INTERMED ET HONORAIRES",107,"Honoraires comptables"
305,"VIR HAS SOLUTION 2018-12",,-11400.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
306,"PRLV SEPA TOTAL MS I0000000916379-010032524151392019 /INV/F9520375/0087263392 //20190218-SAGR3",,-174.950000,3,"MATIERES ET FOURNITURES",6,"Carburant"
307,"PRLV SEPA SPB DEB-SPB-876-20190127-000027510882 ASSURANCE MOBILE SPB BOUYGUES TELECOM",,-14.990000,11,"ASSURANCES",27,"Assurance mobiles "
308,"VIR  Systema services 201811",,-7560.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
309,"VIR BLUESCALE 2018-11",,-9720.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
310,"VIR LAFOURCHETTE SAS 375519383 1303",12654.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
311,"VIR RDG",,-60000.000000,82,"RESSOURCE DE DÉVELOPPEMENT GROUPE",226,"RDG"
312,"VIR LAGARDERE TRAVEL RETAIL RH28 2019-02-14:120119474 LAGARDERE TR FRANCE",22110.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
313,"VIR SOFT COMPUTING SOFT COMP 1334",11016.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
314,"PRLV SEPA BOUYGUES TELECOM B2K000186620575X000186620575B2K BOX",,-27.580000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
315,"PRLV SEPA DGFIP 3207505608PU4DLMUO8ELOHZXIM5QZJ236 PASDSN15022019-012019-80532165000030",,-9001.000000,41,"DETTE FISCALE ET SOCIALE ",113,"Tva"
316,"VIR AMETIX AMETIX INV-1263 ADBI 11/18 LEMRABOTT",8100.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
317,"PRLV SEPA TOTAL MS I0000000765094-010032522142722019 /INV/F9333094/0087263392 //20190204-SAGR4",,-178.590000,3,"MATIERES ET FOURNITURES",6,"Carburant"
318,"RELEVE CARTE 22124388",,-3548.010000,,"",,""
319,"PRLV SEPA BOUYGUES TELECOM PAGP0100JQQ64N LIGNES MOBILES",,-292.660000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
320,"VIR BLUESCALE 2018-10",,-11880.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
321,"VIR IFEO 2018-11",,-7524.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
322,"PRLV SEPA SEFIA SEF/T005273743/75118806 F190046341",,-543.040000,6,"LOCATIONS MOBILIERES",18,"Locations Hyundai Tucson"
323,"VIR CARREFOUR BANQUE 2000000705 /INV/FC190009 31.1.2019",14520.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
324,"VIR DOOR INTERNATIONAL BV 30066-12-19042355028876 IBM VM INV: INV-1260 INT 2018 1529",4800.000000,,,"",,""
325,"VIR AGENCE NALE POUR LA FORM , .INV-1205 AFPA 24 AFPA SIA.GE SOCIAL",5280.000000,,,"",,""
326,"FAC.CIC SGT19005200106002 DONT TVA 9,80EUR",,-125.180000,18,"SERVICES BANCAIRES",45,"Frais bancaires"
327,"VIR AMETIX AMETIX INV-1312 ADBI 12/18 LEMRABOTT",9720.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
328,"VIR DECIBEL 2018-10",,-6048.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
329,"VIR ATHAIS CONSULTING SARL INV-1298",10434.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
330,"VIR AMETIX AMETIX INV-1264 ADBI 11/18 ZABER",9348.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
331,"ECH PRET CAP+IN 10934 201056 04 TAUX= 1,70000 INT= 393,44",,-12987.810000,30,"CHARGES D'INTERETS",87,"Intérêts emprunt 450 K€ "
332,"VIR H DISPO INFO HD INFO FAC 1233 ADBI FACTURE 102018 NUM 1233",12420.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
333,"VIR IENA CONSULTING FACTURE FACTURE INV-1182",6600.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
334,"VIR SOPRA STERIA GROUP 010PAD323138 INV-1357-INV-1340-INV-1355-INV-1328",35910.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
335,"PRLV SEPA AG2R REUNICA AG029000002708163 RETRAITE - AG2R REUNICA - 201901M - SIRET 80532165000030 -AG0290000027",,-19192.270000,22,"CHARGES SOCIALES PERSONN",54,"Cotisations Réunica"
336,"VIR 2B CONSULTING SAS 2B CON FOURNISSEURS 28/02/2019-0016 FOURNISSEURS 28/02/2019",9996.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
337,"VIR APAVE INV-1354",8556.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
338,"PRLV SEPA AG2R REUNICA AG029000002708162 RETRAITE - AG2R REUNICA - 201811M - SIRET 80532165000030 -AG0290000027",,-48.770000,22,"CHARGES SOCIALES PERSONN",54,"Cotisations Réunica"
339,"VIR MISTRA FORMATION DEC ET JAN",,-12096.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
340,"VOTRE REMISE VIREMENT DU 270219 VIREMENTS SALAIRES",,-117001.040000,23,"REMUNERATIONS PERSONNEL",71," Salaires bruts"
341,"VIR SAINT GOBAIN DSI GROUPE 0270021537 /INV/INV1356 31.12.2018",8998.030000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
342,"VIR ADAMI 1902188124",12900.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
343,"VIR H DISPO INFO HD INFO FAC INV-1280 ADBI FACTURE 112018 NUM INV-1280",10260.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
344,"VIR  Systema services 201812",,-6840.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
345,"VIR IENA CONSULTING FACTURE FACTURE INV-1236",13860.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
346,"VIR TENDEM 19.01",,-207.840000,8,"ENTRETIEN BIENS IMMOBIL",21,"Entretien de biens immobiliers"
347,"PRLV SEPA URSSAF ILE-DE-FRANCE BQE211719046072004RCUR000023393 UR 117000001549472650 JANV19788617793000180219",,-67179.000000,22,"CHARGES SOCIALES PERSONN",55,"Cotisations Urssaf"
348,"REM CHQ REF10290R07",10800.000000,,35,"VENTES PRESTATIONS SERV",97,"Prestations services formation"
349,"VIR AUBAY SCT180212 1342",8400.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
350,"VIR LAFOURCHETTE SAS 375524126 1344",11628.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
351,"REM CHQ REF10290R07",8.670000,,,"",,""
352,"VIR DEVL HUB PRO SGBDDF1-P-EU2S-003036-0000255597 FC190023",14820.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
353,"VIR BLUESCALE 2018-12",,-6420.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
354,"PRLV SEPA SPB DEB-SPB-876-20190127-000027796664 ASSURANCE MOBILE SPB BOUYGUES TELECOM",,-14.990000,11,"ASSURANCES",27,"Assurance mobiles "
355,"CHEQUE 2164714",,-14584.800000,20,"IMPOTS REMUN AUTRES ORG",49,"Formation continue"
356,"VIR DEVL HUB PRO SGBDDF1-P-EU2S-003032-0000254672 INV1185",15210.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
357,"PRLV SEPA CREDIPAR 101M1728957 101M1728957 32 280219 VOTRE IDENTIFIANT ESPACE CLIENT : NOTRE SITE :",,-494.680000,6,"LOCATIONS MOBILIERES",109,"Locations Peugeot 3008"
358,"VIR PEOPLE AND BABY DEV 2018",,-27803.850000,25,"AUTRES CHARGES SOCIALES",77,"Frais de crèche"
359,"VIR COM CAUTIONS 01/02 DECOMPTE AVALS ET CAUTIONS ARRE",,-24.450000,18,"SERVICES BANCAIRES",45,"Frais bancaires"
360,"VIR KAO F00003",,-15000.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
361,"VIR CONFORAMA FRANCE CONFORAMA FRANCE/2019-02-07/76673 6059362",10962.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
